1,1,1,1,1,1,1,2R,2R,2R,2R,2R,2R,2R,2R,1,1,1,1,1,1
1,30,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,61,1
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,42N3,1,1
1,0,0,43N0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,41P2,41P3,0,9,0,1,0,0,0,0,1
1,0,0,0,0,61,1,44P0,0,0,1,1,0,0,0,1,33,0,0,0,1
1,1,1,1,1,1,1,44P1,0,0,1,1,1,1,1,1,1,1,1,1,1
2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2R
2R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2R
2R,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2R
2R,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2R
2R,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,2R
2R,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2R
2R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2R
2R,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2R
1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
1,0,0,0,0,61,1,0,0,0,0,0,0,0,0,1,0,0,0,61,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44N2,1,1
1,0,0,42N1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,31,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,32,0,0,0,1
1,1,1,1,1,1,1,2R,2R,2R,2R,2R,2R,2R,2R,1,1,1,1,1,1
